y,x1,x2
-3057.26,-6679.97,-4921.42
-2182.52,-4428.14,-1778.32
-4065.5,-9127.83,-9145.92
-356.92,-1976.43,-6861.31
-2115.23,-1885.49,-7573.69
-3208.89,-4530.06,-3978.96
-9768.12,-9721.08,-5128.57
-7787.44,-1047.76,-371.7
-8312.83,-6551.07,-8333.89
-9174.35,-9299.65,-6311.9
-8475.26,-9528.94,-195.91
-3751.77,-6555.22,-4120.86
-5765.62,-5916.68,-2554.57
-5255.37,-1075.09,-3552.9
-1987.31,-4278.3,-53.65
-60.77,-5482.83,-286.61
-1009.32,-7664.62,-5540
-8111.25,-6153.18,-4769.76
-9980.82,-9819.51,-5507.26
-6531.36,-4501.8,-8710.71
-356.11,-5983.48,-6695.06
-1986.14,-9676.65,-2342.77
-204.46,-2631.6,-7513.31
-8586.9,-7924.46,-7657.68
-1506.19,-2888.35,-9129.43
-6457.53,-5172.67,-6279.66
-7615.08,-5855.11,-2922.31
-9561.47,-5940.24,-694.23
-9572.11,-9386.36,-1347.29
-1905.17,-8536.4,-4505.51
-8354.24,-1733.68,-9351.17
-2202.58,-5855.77,-7094.14
-7522.76,-8802.33,-5291.44
-23.73,-6466.74,-973.73
-7377.11,-2788.33,-7830.1
-7946.47,-4340.09,-8186.39
-9491.93,-4366.35,-8150.86
-9062.51,-6299.64,-4499.39
-1655.7,-9486.11,-1152.69
-4950.15,-7889.9,-9825.46
-6714.84,-6498,-9403.52
-9569.52,-7321.31,-169.89
-6281.04,-9811.16,-1239.02
-3674.01,-3915.38,-3575.35
-1613.23,-9715.84,-8975.4
-2769.02,-5430.51,-9044.13
-6992.38,-951,-6461.01
-356.31,-8886.24,-2153.21
-5214.12,-7963.61,-8623.6
-5926.07,-4012.9,-3282.55
-3658.52,-6517.39,-6934.84
-6591.42,-314.18,-1764.87
-1381.23,-6409.12,-296.5
-3873.96,-3339.07,-1897.5
-5784.62,-682.4,-4908.31
-1308.74,-117.34,-2771.4
-9261.11,-1352.54,-8635.33
-2034.7,-9609.22,-2992.69
-5882.78,-7847.91,-9096.47
-6380.5,-9439.62,-191.79
-4809.95,-6157.72,-9861.66
-3079.28,-5884.49,-1786.34
-2624.84,-8127.86,-5391.33
-5259.91,-8791.57,-4399.8
-8391.11,-4277.68,-4268.22
-857.55,-7269.91,-4962.85
-1385.7,-989.34,-1449.95
-1347.28,-1312.66,-6086.53
-5437.88,-9408.11,-6836.43
-9130.87,-71.38,-5056.59
-1691.95,-9811.46,-9691.87
-6694.84,-5241.15,-4167.37
-4835.74,-5066.41,-887.68
-5683.84,-8347.33,-2548.77
-7573.7,-1326.27,-7.57
-7469.78,-3842.29,-1567.99
-966.72,-3581.24,-4351.93
-3544.71,-8255.23,-9727.43
-4336.72,-513.82,-9896.56
-2971.08,-9750.79,-5938.94
-7981.35,-4455.43,-1856.1
-1554.22,-7324.1,-5044.19
-5382.76,-6324.04,-1395.82
-2534.96,-8445.39,-7563.69
-9556.81,-5604.8,-7016.36
-427.07,-3702.35,-2950.86
-771.23,-7732.68,-4310.14
-7211.75,-2484.82,-7551.19
-5851.3,-1034.48,-6417.09
-9144.13,-5566.42,-6322.39
-2095.93,-9139.48,-7073.83
-3012.19,-1785.87,-9930.08
-9194.98,-1632.09,-5095.07
-6381.12,-5611.22,-2401.85
-8921.81,-5244.12,-9724.05
-1856.6,-9527.58,-6719.71
-7566.66,-3460.4,-7294.15
-1251.67,-5698.88,-7432.6
-2935.09,-6956.37,-8010.16
-8550.76,-2148.5,-3090.64
-230.96,-902,-9674.88
-1928.58,-6852.74,-6553.42
-5143.3,-3910.04,-3215.97
-9126.31,-4776.78,-3775.42
-1860.93,-1128.99,-673.99
-1725.6,-641.76,-2173.03
-3914.46,-2809.07,-6378.86
-6168.56,-2395.93,-1940.48
-9329.37,-4039.31,-3034.08
-6221.43,-9181.24,-2613.54
-2062.58,-3718.39,-8706.09
-2448.82,-7244.48,-4950.07
-5465.24,-9215.34,-9588.22
-9603.56,-200.6,-5508.86
-7580.56,-3736,-1554.6
-8945.65,-204.58,-1436.71
-7179.33,-3850.08,-1210.49
-3865.36,-3509.16,-6305.74
-877.34,-2728.46,-1118.39
-5445.11,-9973.16,-4408.05
-9765.88,-9599.76,-2032.14
-1714.01,-6716.45,-8869.61
-89.81,-116.84,-9345.22
-8692.69,-3721.69,-7677.31
-9750.53,-6474.09,-4886.11
-4336.78,-5324.22,-3620.11
-4528.15,-9412.89,-2193.67
-574,-8531.55,-8073.01
-3590.47,-3439.73,-9933.18
-5416.56,-6108.4,-2032.69
-8053.67,-5228.89,-5129.22
3.13,0.27,3.85
3.44,2.39,8.86
2.19,1.49,0.79
9.43,0.32,9.05
1.03,4.37,2.18
9.04,8.27,1.98
5.28,6.79,1.62
0.23,9.55,5.15
1261.89,7594.91,8665.36
2915.05,2095.93,289.33
2789.68,462.51,5611.75
9628.88,7822.03,7486.21
2412.92,9521.35,7171.75
945.34,2512.49,9187.04
1805.52,3715.2,9056.82
455.57,2166.92,2343.96
3369.17,8951.87,5619.31
3701.49,9348.94,4129.88
5269.61,6651.33,9889.22
5434.5,5410.95,1716.7
8397.49,964.61,1564.08
8625.09,3808.47,4169.62
3995.75,4072.84,35.53
9967.37,7596.63,6940.86
1457.33,1227.19,8819.68
16.55,76.13,62.56
18.48,93.31,25.38
27.75,16.63,67.57
34.92,95.87,92.64
2.34,57.31,87.2
52.47,44.18,21.06
38.65,56.93,18.61
18.01,71.03,72.72
77.11,6.13,1.85
97.61,85.26,69.59
99.89,45.79,13.61
89.43,43.47,61.42
13.14,74.34,80.47
90.39,35.76,8.49
28.28,90.52,34.32
89.2,93.22,34.76
85.07,43.27,36.89
2.05,81.01,42.27
59.44,22.95,85.66
74.05,48.66,69.59
52.13,98.18,42.56
80.31,56.91,19.62
15.7,47.57,72.44
38.83,94.33,84.74
55.03,3.12,68.07
14.65,23.16,39.34
42.54,69.11,5.49
50.24,19.78,96.76
57.31,48.43,27.19
44.37,21.3,31.71
34.31,49.52,63.28
95.13,99.27,84.53
38.37,96.15,54.17
34.42,4.29,92.34
69.94,84.32,25.48
71.83,48.91,93.54
26.22,74.47,41.12
9.77,37.47,4.45
2.39,81.54,16.3
95.05,16.8,17.94
86.22,97.96,27.45
64.17,74.99,45.39
18.57,82.3,72.95
11.07,39.96,8.22
84.87,98.8,63.66
17.39,26.72,68.53
97.76,7.05,25.39
80.98,6.76,23.69
50.48,87.34,21.89
83.18,56.7,54.18
99.18,21.61,89.76
43.92,78.69,24.31
64.12,30.41,51.7
35.16,75.61,27.16
22.17,95.48,31.26
19.37,14.47,59.72
87.04,39.59,9.34
40.67,64.25,64.47
31.64,49.64,62.89
35.38,58.07,66.1
75.9,36.81,5.9
81.33,21.26,1.38
62.85,36.82,62.3
73.73,11.02,61.29
39.21,44.64,67.56
95.86,67.92,46.29
82.91,27.78,74.03
76.27,7.39,28.66
51.05,64.63,76.94
80.37,61.09,8.21
33.28,66.06,26.46
74.28,31.05,78.16
57.64,68.58,88.73
35.56,85.32,42.85
95.69,94.81,84.7
82.84,62.27,13.03
53.51,89.52,83.63
57.03,55.22,66.62
77.43,13.97,5.27
79.84,95.51,85.77
20.06,70.35,5.07
75.72,3.14,12.57
59.67,32.22,66.41
66.8,99.03,49.93
82.25,89.72,22.41
67.54,14.11,81.78
83.86,75.64,14.2
5.98,53.83,41.44
69.91,55.93,93.04
4.62,34.22,89.04
4.62,90.63,51.08
71.78,82.74,26.34
78.87,5.18,91.83
45.02,46.42,95.6
93.5,56.14,96.98
72.84,3.85,24.24
37.59,55.82,75.88
9.24,24.4,46.73
36.36,29.26,93.38
86.71,45.71,61.48
36.73,30.29,56.1
58.24,83.73,24.98
33.48,43.93,74.36
54.81,84.08,12.24
75.31,50.45,30.65
22,7.18,33.34
28.53,71.35,15.71
64.97,45.72,86.82
1.12,41.81,28.76
69.36,98.51,58.9
49.79,27.06,0.67
99.02,35.19,64.75
56.44,49.98,20.35
52.4,24.87,13.31
62.52,10.36,61.4
76.74,37.28,2.22
62.03,75.4,98.92
25.32,40.17,94.3
44.17,84.36,76.19
47.89,41.99,76.8
42.02,2.99,38.68
27.98,1.75,88.98
40.75,18.34,78.21
81.87,1.07,39.54
80,84.11,29.95
27.84,80.02,42.12
35.04,99.9,77.18
61.85,41.09,85.63
84.86,43.14,9.95
54.93,77.28,49.38
5.68,5.34,45.64
19.19,7.35,7.75
34.55,21.97,22.2
61.84,89.44,79.2
68.22,16.61,11.87
27.28,31.73,29.23
69.47,78.61,82.7
36.04,22.23,47.35
32.74,79.72,11.19
31.91,31.78,54.77
24.25,99.49,77.8
54.68,79.56,26.49
75.74,84.96,82.27
5.3,70.22,99.26
82.14,0.3,45.95
15.2,13.08,99.75
58.43,17.76,9.55
83.82,83.9,2.74
10.44,66.35,85.81
5.21,93.15,65.64
88.69,34.69,46.03
81.04,16.73,25.75
37.45,82.66,47.64
64.99,14.87,71.47
74.22,57.57,35.43
63.17,94.09,56.17
26.4,74.9,48.37
8.75,13.63,24.94
92.87,59.95,19.41
83.21,34.77,67.5
32.77,30.23,44.09
70.61,43.76,56.13
53.04,84.65,89.17
53.78,27.97,68.73
23.62,19.72,33.09
26.09,2.2,22.88
32.71,43.29,7.98
94.59,85.42,19.17
67.91,8.69,81.75
75.2,24.98,28.02
17.81,58.83,58.7
84.92,65.55,86.57
49.42,92.81,54.7
69.67,39.01,85.3
70.42,71.08,46.53
94.62,17.78,23.7
48.19,69.33,52.41
86.63,59.5,57.18
27.9,21.13,68.15
10.25,35.04,62.63
3.94,17.05,2.28
48.04,5.45,96.49
99.95,83.68,56.94
3.49,99.42,25.9
30.49,61.13,73.74
24.52,32.4,35.83
53.93,22.04,41.18
24.85,27.63,44.38
70.07,56.9,59.68
82.3,68.45,77.83
54.33,1.79,66.9
12.74,60.97,11.17
41.08,61.42,1.04
17.97,6.58,9.05
80.36,3.3,24.9
25.45,90,52.5
40.08,49.27,72.97
43.99,25.17,46.04
93.4,15.97,56.91
47.6,38.12,89.67
59.31,71.08,68.67
47.63,12.48,65.35
49.66,30.21,89.87
45.5,4.88,50.15
82.72,10.38,40.3
40.09,85.14,74.99
68.67,93.58,23.4
34.09,81.55,18.54
50.58,94.89,98.4
83.98,1.72,69.84
85.12,18.95,4.6
91.36,60.03,78.3
7.2,73.97,58.4
67.85,76.27,58.61
1.73,14.11,58.14
39.45,25.64,92.65
89.38,10.18,90.07
4.13,24.27,97.16
51.12,68.8,8.57
65.01,8.75,55.09
31.32,41.72,23.78
54.52,99.95,66.86
72.14,12.48,81.76
51.01,76.58,95.75
8.41,55.7,23.13
87.75,79.69,89.27
